Sigla,Name,Índice-__H,level
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,32,5
LPAR,Logic Programming and Automated Reasoning,32,5
MSR,International Workshop on Mining Software Repositories,32,5
WICSA,Working IEEE/IFIP Conference on Software Architecture,32,5
WIDM,ACM International Workshop on Web Information and Data Management,32,5
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,31,5
USITS,USENIX Symposium on Internet Technologies and Systems,31,5
CASCON,Annual International Conference on Computer Science and Software Engineering,30,5
EICS,The ACM SIGCHI Symposium on Engineering Interactive Computing Systems,30,5
INTERACT,IFIP TC13 International Conference on Human-Computer Interaction,30,5
ASAP,IEEE International Conference on Application-specific Systems: Architectures and Processors,29,5
ECBS,Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems,29,5
ANSS,Annual Simulation Symposium,28,5
APLAS,Asian Symposium on Programming Languages and Systems,28,5
CASE_A,IEEE Conference on Automation Science and Engineering,28,5
FMOODS,International Conference on Formal Methods for Open Object-Based Distributed Systems,28,5
ICWE,International Conference on Web Engineering,28,5
IDEAS_A,International Database Engineering and Applications Symposium,28,5
Softvis,Software Visualization,28,5
ALENEX,Workshop on Algorithm Engineering and Experiments,27,5
DSD,EUROMICRO Conference on Digital System Design,27,5
ECOWS,IEEE European Conference on Web Services,27,5
ECSCW,European Conference on Computer Supported Cooperative Work,27,5
ECWeb,International Conference on Electronic Commerce and Web Technology,27,5
KES,International Conference on Knowledge-Based and Intel igent Information and Engineering Systems,27,5
QEST,International Conference on Quantitative Evaluation of Systems,27,5
TOOLS,Technology of Object-Oriented Languages and Systems Conferences,27,5
Agile,Agile Development Conference,26,5
IH,Information Hiding Workshop,26,5
IPCO,Conference on Integer Programming and Combinatorial Optimization,26,5
LATIN,Latin American Symposium on Theoretical Informatics,26,5
SEA,Symposium on Experimental Algorithms,26,5
SEFM,IEEE International Conference on Software Engineering and Formal Methods,26,5
CBSE,International Symposium Component-Based Software Engineering,25,5
CRIWG,International Workshop on Groupware,25,5
ECMDA,European Conference on Model Driven Architecture Foundations and Applications,25,5
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,25,5
FLAIRS,Florida Artificial Intel igence Research Society,25,5
FOIS,International Conference on Formal Ontology in Information Systems,25,5
FUSION,International Conference on Information Fusion,25,5
IOLTS,IEEE International On-Line Testing Symposium,25,5
ISADS,International Symposium on Autonomous Decentralized Systems,25,5
LATINTCS,Latin American Theoretical Informatics Symposium,25,5
PEPM,Symposium on Partial Evaluation and Program Manipulation,25,5
TCS,IFIP International Conference on Theoetical Computer Science,25,5
VL/HCC,IEEE Symposium on Visual Languages and Human-Centric Computing,25,5
WADS,Workshop on Algorithms and Data Structures,25,5
ADBIS,Symposium on Advances in Database and Information Systems,24,5
ASAMA,International Symposium on Agent Systems and Applications / International Symposium on Mobile Agents,24,5
CIA,International Workshop on Cooperative Information Agents,24,5
CIG,IEEE Symposium on Computacional Intel igence and Games,24,5
FIE,IEEE Frontiers in Education Conference,24,5
ICTSS,IFIP International Conference on Testing Software and Systems,24,5
IFM,International Conference on Integrated Formal Methods,24,5
OM,Ontology Matching,24,5
QSIC,International Quality Software Conference,24,5
WADS_A,Workshop on Architecting Dependable Systems,24,5
WORDS,IEEE International Workshop on Object-Oriented Real-Time Dependable Systems,24,5
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,23,5
EuroVis,Eurographics/IEEE-VGTC Symposium on Visualization,23,5
ICSR,IEEE International Conference on Software Reuse,23,5
IWPSE,International Workshop on Principles of Software Evolution,23,5
ALG,Workshop on Algorithm Engineering,22,5
ATVA,Automated Technology for Verification and Analysis,22,5
CIT,International Conference on Computer and Information Technology,22,5
CoopIS,International Conference on Cooperative Information Systems,22,5
DAS,International Workshop on Document Analysis Systems,22,5
FLOPS,International Symposium on Functional and Logic Programming,22,5
FORMATS,International Conference on Formal Model ing and Analysis of Timed Systems,22,5
GDC,Game Developers Conference,22,5
HASE,IEEE International Symposium on High Assurance Systems Engineering,22,5
HASKELL,Haskel  Workshop,22,5
ICIQ,International Conference on Information Quality,22,5
IEEEIS,IEEE Conference On Intel igent Systems,22,5
ISWPC,Wireless Pervasive Computing,22,5
ITNG,International Conference on Information Technology New Generations,22,5
MMM,International Multi-Media Model ing Conference,22,5
MPC,International Conference on Mathematics of Program Construction,22,5
PROFES,International Conference on Product Focused Software Process Improvement,22,5
RULEML,International Conference on Rules and Rule Markup Languages for the Semantic Web,22,5
SAFECOMP,International Conference on Computer Safety: Reliability and Security,22,5
SOFSEM,Conference on Current Trends in Theory and Practice of Computer Science,22,5
DEBS,International Conference on Distributed Event-Based Systems,21,4
DMTCS,International Conference on Discrete Mathematics and Theoretical Computer Science,21,4
ICST,"International Conference on Software Testing, Verification and Validation",21,4
IRI,IEEE International Conference on Information Reuse and Integration,21,4
ISIPTA,International Symposium on Imprecise Probabilities: Theories and Applications,21,4
ISMIS,International Syposium on Methodologies for Intel igent Systems,21,4
ISMVL,IEEE International Symposium on Multiple-Valued Logic,21,4
LoCA,International Symposium on Location- and Context-Awareness,21,4
MMBIA,IEEE Computer Society Workshops on Mathematical Methods in Biomedical Image Analysis,21,4
MUM,International Conference on Mobile and Ubiquitous Multimedia,21,4
PDPTA,International Conference on Parallel and Distributed Processing Techniques and Applications,21,4
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",21,4
SAC_A,Selected Areas in Cryptography,21,4
SC,International Symposium on Software Composition,21,4
SIROCCO,Col oquium on Structural Information and Communication Complexity,21,4
TES,International Workshop on Technologies for E-Services,21,4
WAIM,Interational Conference on Web Age Information Management,21,4
ACRI,International Conference on Cel ular Automata for Research and Industry,20,4
APWEB,International Asia-Pacific Web Conference,20,4
ASRU,IEEE Workshop on Automatic Speech Recognition & Understanding,20,4
BIS,International Conference on Business Information Systems,20,4
BTAS,"IEEE International Conference on Biometrics: Theory, Applications and Systems",20,4
CAIP,International Conference on Computer Analysis of Images and Patterns,20,4
DGCI,Digital Geometry for Computer Imagery,20,4
DRCN,International Workshop on Design of Reliable Communications Networks,20,4
DS-RT,IEEE International Symposium on Distributed Simulation and Real Time Applications,20,4
EUC,IFIP International Conference on Embedded and Ubiquitous Computing,20,4
EuroSPI,European Conference on Software Process Improvement,20,4
EvoCOP,European Conference on Evolutionary Computation in Combinatorial Optimization,20,4
FTRTFT,Formal Techniques in Real-Time and Fault Tolerant Systems,20,4
ICCBSS,IEEE International Conference on COTS-Based Software Systems,20,4
ICEBE,IEEE International Conference on e-Business Engineering,20,4
ICFCA,International Conference on Formal Concept Analysis,20,4
ICGSE,IEEE International Conference on Global Software Engineering,20,4
ICIS_A,IEEE/ACIS International Conference on Computer and Information Science,20,4
ICOMP,International Conference on Internet Computing,20,4
ICPS,IEEE/ACS International Conference on Pervasive Services,20,4
IDEAL,International Conference on Intel igent Data Engineering and Automated Learning,20,4
IJCNLP,International Joint Conference on Natural Language Processing,20,4
IPAW  ,International Provenance and Annotation Workshop,20,4
IPEC,International Symposium on Parameterized and Exact Computation,20,4
IWANN,International Work-Conference on Artificial and Natural Neural Networks,20,4
