Sigla,Name,Índice-__H,level
AMSTA,Agent and Multi-Agent Systems: Technologies and Applications,13,3
BPMDS,"International Conference on Business Process Modeling, Development, and Support",13,3
C5,International Conference on Creating Connecting and Col aborating through Computing,13,3
CASA,Computer Animation and Social Agents,13,3
CCA_A,International Conference on Computability and Complexity in Analysis,13,3
Col aborateCom,"International Conference on Col aborative Computing: Networking, Applications and Worksharing",13,3
DASC,"IEEE International Symposium on Dependable, Autonomic and Secure Computing",13,3
DesignCon,Design Conference,13,3
EDM,International Conference on Educational Data Mining,13,3
EDOCW,IEEE International Enterprise Distributed Object Computing Conference Workshops,13,3
ESAW,International Workshop on Engineering Societies in the Agents World,13,3
ESTIMedia,IEEE Workshop on Embedded Systems for Real-Time Multimedia,13,3
EUROCAST,International Workshop on Computer Aided Systems Theory,13,3
FGCN,International Conference on Future Generation Communication and Networking,13,3
FOGA,Foundations of Genetic Algorithms,13,3
GeoComp,International Conference on GeoComputation,13,3
ICIDS,International Conference on Interactive Digital Storytel ing,13,3
ICIG,International Conference on Image and Graphics,13,3
ICISS,International Conference on Information Systems Security,13,3
ICSEA,International Conference on Software Engineering Advances,13,3
ICSNC,International Conference on Systems and Networks Communication,13,3
ISPA,International Symposium on Parallel and Distributed Processing and Applications,13,3
ITHET,International Conference on Information Technology Based Higher Education and Training,13,3
IWPT,International Conference on Parsing Technologies,13,3
JMLC,Joint Modular Languages Conference,13,3
KES-AMSTA,International Conference on Agent and Multi-Agent Systems: Technologies and Applications,13,3
LAW,The Linguistic Annotation Workshop,13,3
MGC,International Workshop on Middleware for Grid Computing,13,3
MIC,Metaheuristic International Conference,13,3
MOBILITY,Mobility Conference,13,3
MWC,IEEE CAS Symposium on Emerging Technologies: Frontiers of Mobile and Wireless Communication,13,3
NEW2AN,Next Generation Teletraffic and Wired/Wireless Advanced Networking,13,3
PRIS,International Workshop on Pattern Recognition in Information Systems,13,3
PRO-VE,IFIP Working Conference on Virtual Enterprises,13,3
PSIVT,Pacific-Rim Symposium on Image and Video Technology,13,3
SBLP,Simpósio Brasileiro de Linguagens de Programação,13,3
SCCC,International Conference of the Chilean Computer Science Society,13,3
SIES,International Symposium on Industrial Embedded Systems,13,3
SWAP,Workshop on Semantic Web Applications and Perspectives,13,3
WICON,International Conference on Wireless Internet,13,3
WISP,IEEE International Workshop on Intel igent Signal Processing,13,3
ACL2,Workshop on the ACL2 Theorem Prover and Its Applications,12,3
AdCom,International Conference on Advanced Computing and Communications,12,3
CBMI,International Workshop on Content-Based Multimedia Indexing,12,3
CIDM,IEEE Symposium on Computational Intel igence and Data Mining,12,3
CIS,International Conference on Computational Intel igence and Security,12,3
CODAS,International Symposium on Cooperative Database Systems for Advanced Applications,12,3
DIPES,IFIP Working Conference on Distributed and Parallel Embedded Systems,12,3
DSM,Workshop on Domain-Specific Modeling,12,3
E2EMON,IEEE/IFIP Workshop on End-to-End Monitoring Techniques and Services,12,3
ECCTD,European Conference on Circuit Theory and Design,12,3
EON,Workshop on Evaluation of Ontology-based Tools,12,3
ESS,European Simulation Symposium,12,3
ESSDERC,European Solid-State Device Research Conference,12,3
EUROCON,"The International Conference on ""Computer as a Tool""",12,3
GECON,Grid Economics and Business Models,12,3
GPC,Advances in Grid and Pervasive Computing,12,3
I3E,IFIP Conference on e-Commerce e-Business and e-Government,12,3
ICNSC,"IEEE Intl Networking, Sensing and Control",12,3
ICONS,International Conference on Systems,12,3
ICSP,International Conference on Stochastic Programming,12,3
IEEERFID,IEEE IEEE International Conference on RFID,12,3
IIWAS,Information Integration and Web-based Applications and Services,12,3
INDIN,IEEE International Conference on Industrial Informatics,12,3
ISSCS,International Symposium on Signals Circuits and Systems,12,3
JTRES,International Workshop on Java Technologies for Real-time and Embedded Systems,12,3
JURIX,International Conference on Legal Knowledge and Information Systems,12,3
LADC,Latin-American Symposium on Dependable Computing,12,3
LATA,Language and Automata Theory and Applications,12,3
LFCS,Symposium on Logical Foundations of Computer Science,12,3
ML,IADIS International Conference on Mobile Learning,12,3
MODSIM,International Congress on Model ing and Simulation,12,3
NPC,IFIP International Conference on Network and Parallel Computing,12,3
PATAT,International Conference on the Practice and Theory of Automated Timetabling,12,3
PETRA,International Conference on Pervasive Technologies Related to Assistive Environments,12,3
RADECS,Conference on RADIATION EFFECTS on COMPONENTS and SYSTEMS,12,3
SAICSIT,Conference of the South African Institute of Computer Scientists and Information Technologists,12,3
SAM,International Conference on Security and Management,12,3
SEAMS,International Symposium on Software engineering for adaptive and self-managing systems,12,3
TAP,Tests and Proofs,12,3
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,12,3
WMIS,Workshop on Mobile Information Systems,12,3
ACHI,International Conference on Advances in Computer-Human Interaction,11,3
CATA,International Conference on Computers and their Applications,11,3
CIC,International Conference on Communications in Computing,11,3
COOP,International Conference on the Design of Cooperative Systems,11,3
CSNDSP,"International Symposium on Communication Systems, Networks and Digital Signal Processing",11,3
DCW,Workshop on Distributed Communities on the Web,11,3
DDECS,IEEE Workshop on Design and Diagnostics of Electronic Circuits and Systems,11,3
DIGITEL,IEEE International Conference on Digital Game and Intel igent Toy Enhanced Learning,11,3
DNIS,Databases in Networked Information Systems,11,3
EA,Workshop on Early Aspects,11,3
Evobio,"European Conference on Evolutionary Computation, Machine Learning and Data Mining in Computational Biology",11,3
FDG,Foundations of Digital Games,11,3
I-SEMANTICS,International Conference on Semantic Systems,11,3
ICAIS,International Conference on Adaptive and Intel igent Systems,11,3
ICCTA,International Conference on Computing: Theory and Applications,11,3
ICDIM,International Conference on Digital Information Management,11,3
ICDS,International Conference on Digital Society,11,3
ICIT,IEEE International Conference on Industrial Technology,11,3
IESA,International Conference on Interoperability for Enterprise Software and Applications,11,3
ISAM,IEEE International Symposium on Assembly and Manufacturing,11,3
ISBRA,International Symposium on Bioinformatics Research and Applications,11,3
ISTA,International Conference on Information Systems Technology and its Application,11,3
KSEM,"International Conference on Knowledge Science, Engineering and Management",11,3
MABS,International Workshop on Multi-Agent-Based Simulation,11,3
MMSys,ACM SIGMM Conference on Multimedia Systems,11,3
MTV,Microprocessor Test and Verification,11,3
PACIFICVIS,IEEE Pacific Visualization Symposium,11,3
PQCrypto,International Workshop on Post-Quantum Cryptography,11,3
ProMAS,International Workshop on Programming Multi-Agent Systems,11,3
SAMT,Semantics and Digital Media Technologies,11,3
SBQS,Simpósio Brasileiro de Qualidade de Software,11,3
SEAL,International Conference on Simulated Evolution and Learning,11,3
SECURWARE,"International Conference on Emerging Security Information, Systems, and Technologies",11,3
SELMAS,International Workshop on Software Engineering for Large-Scale Multi- Agent Systems,11,3
SYROCO,International IFAC Symposium on Robot Control,11,3
TASE,IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering,11,3
UBICOMM,"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",11,3
VIIP,International Conference on Visualization: Imaging and Image Processing,11,3
W2GIS,International Workshop on Web and Wireless Geographical Information Systems,11,3
WCCM,World Congress on Computational Mechanics,11,3
WEBIST,International Conference on Web Information Systems and Technologies,11,3
WIE,Workshop sobre Informática na Escola,11,3
WITS,Workshop on Information Technologies and Systems,11,3
WoLLIC,"Workshop on Logic, Language, Information and Computation",11,3
AGILE_A,AGILE Conference on Geographic Information Science,10,3
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,10,3
ICON,IEEE International Conference on Networks,10,3
INOC,International Network Optimization Conference,10,3
PLoP,Pattern Languages of Programs Conference,10,3
WAIS,International Workshop on Artificial Intel igence and Statistics,10,3
GAME-ON,European GAME-ON Conference,9,3
IPOM,IEEE International Workshop on IP Operations and Management,9,3
IPT,Workshop on Immersive Projection Technology,9,3
MMCN,ACM/SPIE Multimedia Computing and Networking,9,3
VSMM,International Conference on Virtual Systems and MultiMedia,9,3
WCW,Web Caching Workshop,9,3
AOIS,Agent-Oriented Information Systems Workshop,8,3
EAMT,Annual Conference of the European Association for Machine Translation,8,3
ISSPA,IEEE International Symposium on Signal Processing and its Applications,8,3
AOSE,Workshop on Agent-Oriented Software Engineering,7,3
FOOL,International Workshop on Foundations of Object-Oriented Languages,7,3
ISER,International Symposium on Experimental Robotics,7,3
IWCS,International Workshop on Computational Semantics,7,3
CCA,IEEE International Conference on Control Applications,6,3
HLDVT,IEEE International High Level Design Validation and Test Workshop,6,3
ICMCS,IEEE International Conference on Multimedia Computing and Systems,6,3
TFP,Trends in Functional Programming,6,3
WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",6,3
CCW,IEEE Annual Computer Communications Workshop,5,3
ODBASE,International Conference on Ontologies Databases and Applications of Semantics,5,3
PDCS,International Conference on Parallel and Distributed Computing and Systems,5,3
RAW,Reconfigurable Architectures Workshop,5,3
CENTERIS,International Conference on Enterprise Information Systems,3,3
EuroBot,European Workshop on Advanced Mobile Robots,3,3
IFL,International Symposium on Implementation and Application of Functional Languages,2,3
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,2,3
FroCoS,International Symposium on Frontiers of Combining Systems,1,3
GREC,IAPR International Workshop on Graphics Recognition,1,3
ODP,IFIP International Conference on Open Distributed Processing,1,3
AIAI,IFIP International Conference on Artificial Intel igence Applications and Innovations,10,2
ANTS_A,International Workshop on Ant Colony Optimization and Swarm Intel igence,10,2
ASONAM,International Conference on Advances in Social Network Analysis and Mining,10,2
BASYS,IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems,10,2
CDVE,"Cooperative Design, Visualization and Engineering",10,2
CELDA,Cognition and Exploratory Learning in Digital Age,10,2
CLA,International Conference On Concept Lattices and Their Applications,10,2
CNMAC,Congresso Nacional de Matemática Aplicada e Computacional,10,2
COCOA,Conference on Combinatorial Optimization and Applications,10,2
CollECTeR,Col aborative Electronic Commerce Technology and Research,10,2
COMMONSENSE,Symposium on Logical Formalizations of Commonsense Reasoning,10,2
CompLife,International Symposium on Computational Life Science,10,2
DAARC,Discourse Anaphora and Anaphor Resolution Col oquium,10,2
DALT,International Workshop on Declarative Agent Languages and Technologies,10,2
DeLFI,"Fachtagung ""e-Learning"" der Gesel schaft für Informatik",10,2
DNA,International Meeting on DNA Computing,10,2
EGVE,Eurographics Workshop on Virtual Environments,10,2
EuroCG,European Workshop on Computational Geometry,10,2
HealthCom,International Workshop on Enterprise Networking and Computing in Health Care Industry,10,2
HIPS,International Workshop on High-Level Programming Models and Supportive Environments,10,2
I&CPS,IEEE Industrial and Commercial Power Systems Technical Conference - Conference Record,10,2
ICBBE,International Conference on Bioinformatics and Biomedical Engineering,10,2
ICCCAS,"International Conference on Communications, Circuits and Systems",10,2
ICCDCS,"International Caribbean Conference on Devices, Circuits and Systems",10,2
ICDCIT,International Conference on Distributed Computing and Internet Technology,10,2
ICDCN,IEEE International Conference on Distributed Computing and Networking,10,2
ICINCO,International Conference on Informatics in Control Automation and Robotics,10,2
ICSOFT,International Conference on Software and Data Technologies,10,2
ICUIMC,International Conference on Ubiquitous Information Management and Communication,10,2
ICUMT,Ultra Modern Telecommunications,10,2
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,10,2
IKE,International Conference on Information and Knowledge Engineering,10,2
IMCSIT,International Multiconference on Computer Science and Information Technology,10,2
IMSA,International Conference on Internet and Multimedia Systems and Applications,10,2
IPCV,International Conference on Image Processing Computer Vision and Pattern Recognition,10,2
ISECS,International Symposium Electronic Commerce and Security,10,2
ITP,Interactive Theorem Proving continues TPHOL),10,2
ITS_A,International Telecommunications Symposium,10,2
IVCNZ,Image and Vision Computing Conference,10,2
IWCIA,International Workshop on Combinatorial Image Analysis,10,2
IWOS,International Workshop on Self-Organizing Systems,10,2
MIS,Workshop on Multimedia Information Systems,10,2
MSE,International Conference on Microelectronic Systems Education,10,2
NAS,"Networking, Architecture, and Storage",10,2
NTMS,"New Technologies, Mobility and Security",10,2
PADO,Symposium on Programs as Data Objects,10,2
PERFOMANCE,IFIP International Symposium on Computer Performance Modeling Measurements and Evaluation,10,2
RCIS,International Conference on Research Challenges in Information Science,10,2
ROBOCOMM,IEEE International Conference on Robot Communication and Coordination,10,2
SECPERU,"International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing",10,2
SIIT,International Conference on Standardization and Innovation in Information Technology,10,2
SITE,Society for Information Technology and Teacher Education Conference,10,2
SOC,International Symposium on System-on-Chip,10,2
SocialCom,International Conference on Social Computing and its Applications,10,2
SoMeT,"Software Methodologies, Tools and Techniques",10,2
TextGraphs,Graph-based Methods for Natural Language Processing,10,2
URSW,Uncertainty Reasoning for the Semantic Web,10,2
VECPAR,International Meeting on High Performance Computing for Computational Science,10,2
VG,IEEE International Workshop on Volume Graphics,10,2
Virtual,International Workshop on Virtual Rehabilitation,10,2
WDDD,"Workshop on Duplicating, Deconstructing and Debunking",10,2
WKDD,International Workshop on Knowledge Discovery and Data Mining,10,2
WSKS,World Summit on the Knowledge Society,10,2
AC,IADIS International Conference on Applied Computing,9,2
ACIL,Advances in Computational Intel igence and Learning,9,2
ACMC,Australasian Computer Music Conference,9,2
AGI,Artificial General Intel igence,9,2
AIMS,"Autonomous Infrastructure, Management and Security",9,2
AISec,AI & Security Workshop,9,2
AMS,Autonome Mobile Systeme,9,2
ARVLSI,Conference on Advanced Research in VLSI,9,2
BDIM,IEEE/IFIP International Workshop on Business-Driven IT Management,9,2
BEA,Workshop on the Innovative Use of NLP for Building Educational Applications,9,2
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,9,2
CAINE,ISCA International Conference on Computer Applications in Industry and Engineering,9,2
CATCH,Cybersecurity Applications & Technology Conference For Homeland Security,9,2
CATE,IASTED International Conference on Computers and Advanced Technology in Education,9,2
CERMA,Robotics and Automotive Mechanics Conference Electronics,9,2
CGIM,International Conference on Computer Graphics and Imaging,9,2
CIM,Conference on Interdisciplinary Musicology,9,2
CISched,IEEE Symposium on Computational Intel igence in Scheduling,9,2
CISW,International Conference on Computational Intel igence and Security Workshops,9,2
CKC,Social and Col aborative Construction of Structured Knowledge,9,2
CMC,International Conference on Communications and Mobile Computing,9,2
EASE,International Conference on Evaluation and Assessment in Software Engineering,9,2
EATIS,Euro American Conference on Telematics and Information Systems,9,2
EuroIMSA,IASTED International Conference on Internet and Multimedia Systems and Applications,9,2
FMICS,International Workshop on Formal Methods for Industrial Critical Systems,9,2
FPSAC,International Conference on Formal Power Series and Algebraic Combinatorics,9,2
GRAPP,International Conference on Computer Graphics Theory and Applications,9,2
GSDI,International Conference for Global Spatial Data Infrastructure,9,2
HAIS,International Conference on Hybrid Artificial Intel igence Systems,9,2
ICAL,IEEE International Conference on Automation and Logistics,9,2
ICALIP,"International Conference on Audio, Language and Image Processing",9,2
ICIAS,International Conference on Intel igent and Advanced Systems,9,2
ICMPC,International Conference of Music Perception and Cognition,9,2
ICTON,International Conference on Transparent Optical Networks,9,2
IDAACS,Intel igent Data Acquisition and Advanced Computing Systems Technology and Applications,9,2
IDC_A,IEEE Conference on Information Decision and Control,9,2
IGCC,International Green Computing Conference,9,2
ISCRAM,Intel igent Human Computer Systems for Crisis Response and Management,9,2
ISICA,International Symposium on Intel igence Computation and Applications,9,2
LCPC,International Workshop on Languages and Compilers for Parallel Computing,9,2
LION,Learning and Intel igent Optimization,9,2
MLMTA,International Conference on Machine Learning and Applications,9,2
MOBIMEDIA,International Conference on Mobile Multimedia Communications,9,2
MOMPES,IEEE International Workshop on Model Based Methodologies for Pervasive and Embedded Software,9,2
OPTIM,Optimization of Electrical and Electronic Equipment,9,2
PAAMS,International Conference on Practical Applications of Agents and Multiagent Systems,9,2
RECONFIG,International Conference on Reconfigurable Computing and FPGAs,9,2
ReCoSoC,International Workshop on Reconfigurable Communication-centric Systems-on-Chip,9,2
SBPO,Simpósio Brasileiro de Pesquisa Operacional,9,2
SECRYPT,International Conference on Information Security and Cryptology,9,2
SEMISH,Seminário Integrado de Software e Hardware,9,2
ServiceWave,ServiceWave,9,2
SLS,Engineering Stochastic Local Search Algorithms,9,2
SMAP,International Workshop on Semantic and Social Media Adaptation and Personalization,9,2
SVR,Symposium on Virtual and Augmented Reality,9,2
TCGOV,International Conference on E-Government,9,2
UNISCON,International United Information Systems Conference,9,2
VLSI-DAT,"International Symposium on VLSI Design, Automation and Test",9,2
WASA,International Conference on Wireless Algorithms Systems and Applications,9,2
WEI,Workshop sobre Educação em Informática,9,2
WISA,Web Information Systems and Applications Conference,9,2
WONS,International Conference on Wireless on Demand Network Systems and Service,9,2
WORKS,Workshop on Workflows in Support of Large-Scale Science,9,2
WSOM,Workshop on Self-Organizing Maps,9,2
AISM,Australian Information Security Management Conference,8,2
AlgOR,International conference on Algorithmic Operations Research and Operations Research Case Competition,8,2
ANALCO,Workshop on Analytic Algorithms and Combinatorics,8,2
ANNPR,IAPR International Workshop on Artificial Neural Networks in Pattern,8,2
ATMOS,"Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",8,2
BIOCOMP,International Conference on Bioinformatics and Computational Biology,8,2
BPSC,Business Process and Services Computing,8,2
CEA,International Conference on Computer Engineering and Applications,8,2
CISST,International Conference Image Science: Systems and Technology,8,2
CLEI,Conferencia Latinoamericana de Informática,8,2
CLIMA,International Workshop on Computational Logic in Multi-Agent Systems,8,2
CSE,Conference on Computational Science & Engineering,8,2
CTW,Cologne-Twente Workshop on graphs and combinatorial optimization,8,2
DIWeb,International Workshop on Data Integration over the Web,8,2
ENIA,Encontro Nacional de Intelig,8,2
ETCS,IEEE International Workshop on Education Technology and Computer Science,8,2
FTJP,Workshop on Formal Techniques for Java Programs,8,2
GCA,International Conference on Grid Computing and Applications,8,2
GENSIPS,IEEE International Workshop on Genomic Signal Processing and Statistics,8,2
GIIS,IEEE International Global Information Infrastructure Symposium,8,2
HIC,Health Informatics Conference,8,2
Hot-P2P,International Workshop on Hot Topics in Peer-to-Peer Systems,8,2
IC3K,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",8,2
ICAART,International Conference on Agents and Artificial Intel igence,8,2
ICCAS,International Conference on Control Automation and Systems,8,2
ICCST,Annual International Carnahan Conference on Security Technology,8,2
ICIRA,International Conference on Intel igent Robotics and Applications,8,2
ICVES,IEEE International Conference on Vehicular Electronics and Safety,8,2
INEX,International Workshop of the Inititative for the Evaluation of XML Retrieval,8,2
IWCC,IEEE International Workshop on Cluster Computing,8,2
IWSSIP,International Workshop on Systems Signals and Image Processing,8,2
LARS,IEEE Latin American Robotics Symposium,8,2
LATW,IEEE Latin American Test Workshop,8,2
LocWeb,International Workshop on Location and the Web,8,2
METMBS,International Conference on Mathematics and Engineering Techniques in Medicine and Biological Sciences,8,2
MS,Multimedia Semantics,8,2
Nanoarch,IEEE/ACM International Symposium on Nanoscale Architectures,8,2
NEWCAS,IEEE North-East Workshop on Circuits and Systems,8,2
PSC,International Conference on Pervasive Systems and Computing,8,2
SASP,Symposium on Application Specific Processors,8,2
SBSEG,Simpósio de Segurança da Informação e Sistemas Computacionais,8,2
SOAS,Self-Organization and Autonomous Systems in Computing and Communications,8,2
SOFTCOMM,International Conference on Software Telecommunications and Computer Networks,8,2
SPECTS,International Symposium on Performance Evaluation of Computer and Telecommunication Systems,8,2
SRUTI,Steps to Reducing Unwanted Traffic on the Internet Workshop,8,2
STAIRS,Starting Artificial Intel igence Research Symposium,8,2
TRUST,Trust in Agent Societies,8,2
UDMS,Urban Data Management Symposium,8,2
WCCE,IFIP World Conference on Computers in Education,8,2
WCCI,IEEE World Congress on Computational Intel igence,8,2
WD,IFIP Wireless Days,8,2
X-Meeting,International Conference of the Brazilian Association for Bioinformatics and Computational Biology,8,2
ACIIDS,Asian Conference on Intel igent Information and Database Systems,7,2
ADT,Algorithmic Decision Theory,7,2
ALPIT,International Conference on Advanced Language Processing and Web Information Technology,7,2
ARM,Workshop on Adaptive and Reflective Middleware,7,2
BIOSIGNALS,International Conference on Bio-inspired Systems and Signal Processing,7,2
BLISS,"Bio-inspired, Learning, and Intel igent Systems for Security",7,2
BMEI,International Conference on BioMedical Engineering and Informatics,7,2
BSB,Brazilian Symposium on Bioinformatics,7,2
CAMAD,IEEE Workshop on Computer-Aided Modeling Analysis and Design of Communication Links and Networks,7,2
CISWSN,Col ective Intel igence in Semantic Web and Social Networks,7,2
Conf-IRM,International Conference on Information Resources Management,7,2
CONFENIS,IFIP International Conference on Research and Practical Issues of Enterprise Information Systems,7,2
DEPEND,International Conference on Dependability,7,2
DSSNS,IEEE Workshop on Dependability and Security in Sensor Networks and Systems,7,2
e-Learning,IADIS International Conference on e-Learning,7,2
ECKM,European Conference on Knowledge Management,7,2
EDUCON,IEEE Engineering Education Conference,7,2
EMMSAD,Exploring Model ing Methods in Systems Analysis and Design,7,2
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,7,2
ETELEMED,"International Conference on eHealth, Telemedicine, and Social Medicine",7,2
FLINS,International FLINS Conference on Uncertainty Modeling in Knowledge Engineering and Decision Making,7,2
GEFS,International Workshop on Genetic and Evolving Fuzzy Systems,7,2
HCS,IEEE Hot Chips Symposium,7,2
HEALTHINF,International Conference on Health Informatics,7,2
ICCC,International Conference on Computer Communication,7,2
ICE-B,International Conference on e-Business,7,2
ICEIMT,International Confernce on Enterprise Integration and Model ing Technology,7,2
ICER,International Computing Education Research Workshop,7,2
ICSMA,International Conference on Smart Manufacturing Application,7,2
INAP,Joint Conference on Application of Declarative Programming and Knowledge Management,7,2
IPDS,International Computer Performance and Dependability Symposium,7,2
ISDPE,"International Symposium on Data, Privacy and E-commerce",7,2
ISoLA,"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",7,2
ISSADS,IEEE International Symposium and School on Advance Distributed Systems,7,2
IWSM-MENSURA,International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement,7,2
LANOMS,Latin American Network Operations and Management Symposium,7,2
LDTA,Language Descriptions Tools and Applications,7,2
MCO,"International Conference on Model ing, Computation and Optimization in Information Systems and Management Sciences",7,2
Med-Hoc-Net,IEEE IFIP Annual Mediterranean Ad Hoc Networking Workshop,7,2
MSVVEIS,"International Workshop on Model ing, Simulation, Verification and Validation of Enterprise Information Systems",7,2
MTAGS,Workshop on Many-Task Computing on Grids and Supercomputers ,7,2
NANO,IEEE Conference on Nanotechnology,7,2
NFM,NASA Formal Methods,7,2
NGITS,International Conference on Next Generation Information Technologies and Systems,7,2
PLC,International Conference on Programming Languages and Compilers,7,2
PoEM,The IFIP WG8.1 Working Conference on the Practice of Enterprise Model ing,7,2
QUATIC,International Conference on the Quality of Information and Communications Technology,7,2
SAVCBS,Workshop on Specification and Verification of Component-Based Systems,7,2
SBAI,Simpósio Brasileiro de Automação Inteligente,7,2
SBGames,Simpósio Brasileiro de Jogos e Entretenimento Digital,7,2
SBMF,Simpósio Brasileiro de Métodos Formais,7,2
SBSI,Simpósio Brasileiro de Sistemas de Informação,7,2
SCAN,GAMM / IMACS International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics,7,2
SEA_A,Software Engineering and Applications,7,2
SESS,Software Engineering for Secure Systems,7,2
SGP,Eurographics Symposium on Geometry Processing,7,2
SIN,International Conference on Security of Information and Networks,7,2
SOCASE,"International Workshop on Service-Oriented Computing: Agents, Semantics, and Engineering",7,2
SQM,International Conference on Software Quality Management,7,2
SSBSE,International Symposium on Search Based Software Engineering,7,2
SSI,Symposium on System and Information Security,7,2
SSIRI,Secure System Integration and Reliability Improvement,7,2
TALN,Traitement Automatique des Langues Naturel es,7,2
TLT,International Workshop on Treebanks and Linguistic Theories,7,2
VMIL,Workshop on Virtual Machines and Intermediate Languages,7,2
VS-Games,IEEE Conference in Serious Games and Virtual Worlds,7,2
WDDDM,Workshop on Dependable Distributed Data Management,7,2
WFLP,International Workshop on Functional and Constraint) Logic Programming,7,2
WIS,International Workshop on Wireless Information Systems,7,2
ACiD,Algorithms and Complexity in Durham,6,2
AEM,International Conference on Applied and Engineering Mathematics,6,2
AGS,Agents for Games and Simulations,6,2
AIA,Artificial Intel igence and Applications Conference,6,2
ALIFE,IEEE Symposium on Artificial Life,6,2
AMINING,Active Mining,6,2
ANTS_C,International Symposium on Advanced Networks and Telecommunication Systems,6,2
APCIP,Asia-Pacific Conference on Information Processing,6,2
ASID,"International Workshop on Anti-counterfeiting, Security and Identification",6,2
AUTOMATA,Cel ular Automata Theory and Applicatins,6,2
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,6,2
BIBMW,IEEE International Conference on Bioinformatics and Biomedicine Workshop,6,2
BICS,Brain-Inspired Cognitive Systems Conference,6,2
BIODEVICES,International Conference on Biomedical Electronics and Devices,6,2
CANPC,Workshop on Communication Architecture and Applications for Network-Based Parallel Computing,6,2
CBIS,Congresso Brasileiro de Informática em Saúde,6,2
CCO,International Conference on Cooperative Control and Optimization,6,2
CCRTS,International Command and Control Research and Technology Symposium,6,2
CIBSE,Ibero-American Conference on Software Engineering,6,2
CNSM,International Conference on Network and Services Management,6,2
CODASPY,Data and Application Security and Privacy,6,2
COIN,Workshop on Coordination Organization Institutions and Norms in Agent Systems,6,2
CSEDU,Internation Conference on Computer Supported Education,6,2
DBISP2P,International Workshop on Databases Information Systems and Peer-to-Peer Computing,6,2
DCAI,International Conference on Distributed Computing and Artificial Intel igence,6,2
EC_A,IADIS International Conference e-Commerce,6,2
EIT,IEEE International Conference on Electro/Information Technology,6,2
ePart,International Conference on Electronic Participation,6,2
EpiRob,International Conference on Epigenetic Robotics,6,2
ETHICOMP,International Conference on the Social and Ethical Impacts of Information and Communication Technologies,6,2
FOMI,Formal Ontologies Meet Industry,6,2
GREENCOM,Green Computing and Communications,6,2
HIKM,Healthcare Information and Knowledge Management,6,2
I2TS,Information and Telecommunication Technologies,6,2
IBERCHIP,Workshop Iberchip,6,2
IBIMA,International Business Information Management,6,2
ICCMS,International Conference on Computer Modeling and Simulation,6,2
ICCSE,International Conference on Computer Science & Education,6,2
ICEB,International Conference on Electronic Business,6,2
ICETC,International Conference on Education Technology and Computer,6,2
ICHL,International Conference on Hybrid Learning and Education,6,2
ICMLC,International Conference on Machine Learning and Cybernetics,6,2
IHI,IHI ACM SIGHIT International Health Informatics Symposium,6,2
InSITE,Informing Science and IT Education Conference,6,2
IRMA,Information Resources Management Association International Conference,6,2
ISECON,Information Systems Education Conference,6,2
ISSDQ,International Symposium on Spatial Data Quality,6,2
IST,IEEE International Workshop on Imaging Systems and Techniques,6,2
JADT,International conference on statistical analysis of textual data,6,2
LANC,Latin America Networking Conference,6,2
LINZ,Linz Seminar on Fuzzy Set Theory,6,2
MMEDIA,International Conference on Advances in Multimedia,6,2
MSV,International Conference on Modeling: Simulation and Visualization Methods,6,2
Net-Con,IFIP International Conference on Network Control and Engineering for QoS: Security and Mobility,6,2
OBI,Ontology-supported Business Intel igence,6,2
PKAW,Pacific Rim Knowledge Acquisition Workshop,6,2
PPSC,SIAM Conference on Parallel Processing for Scientific Computing,6,2
SACI,International Symposium on Applied Computational Intel igence and Informatics,6,2
SBCARS,"Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software",6,2
SBESC,Simpósio Brasileiro de Engenharia de Sistemas Computacionais,6,2
SBRT,Simpósio Brasileiro de Telecomunicações,6,2
SDKB,International Workshops on Semantics in Data and Knowledge Bases,6,2
SemEval,International Workshop on Semantic Evaluations,6,2
SIIE,Simpósio Internacional de Informática Educativa,6,2
SPL,Southern Conference on Programmable Logic,6,2
SSIRI-C,IEEE International Conference on Secure Software Integration and Reliability Improvement Companion,6,2
SSRR,"IEEE International Workshop on Safety, Security, & Rescue Robots",6,2
VNC,IEEE Vehicular Networking Conference ,6,2
WAC,Web as Corpus Workshop,6,2
WBC,Web Based Communities,6,2
WCAE,Workshop on Computer Architecture Education,6,2
WISM,Web Information Systems Modeling,6,2
WRT,International Workshop on Refactoring Tools,6,2
